Variable,Term,Estimate,SE,95% CI,P (raw),P (FDR),Signif.,n (subjects)
Ferritin (µg/l)†,Sex: Male (vs Female),0.027,0.022,"[-0.016, 0.07]",0.2196,0.3765,ns,223
GPT/ALT (U/l)†,Sex: Male (vs Female),0.033,0.027,"[-0.02, 0.086]",0.2170,0.3765,ns,223
Monocytes abs. (Tsd./µl)†,Sex: Male (vs Female),0.034,0.034,"[-0.034, 0.101]",0.3290,0.5263,ns,219
Alkaline Phosphatase (U/l),Sex: Male (vs Female),-0.307,0.696,"[-1.679, 1.065]",0.6598,0.7918,ns,223
Eosinophils abs. (Tsd./µl)†,Sex: Male (vs Female),0.026,0.056,"[-0.085, 0.137]",0.6398,0.7918,ns,217
Immature Granulocytes abs. (Tsd./µl)†,Sex: Male (vs Female),0.029,0.058,"[-0.086, 0.144]",0.6209,0.7918,ns,167
Serum Glucose (mg/dl),Sex: Male (vs Female),1.045,2.234,"[-3.358, 5.448]",0.6404,0.7918,ns,223
Triglycerides (mg/dl)†,Sex: Male (vs Female),-0.016,0.026,"[-0.067, 0.035]",0.5449,0.7918,ns,223
Neutrophils abs. (Tsd./µl)†,Sex: Male (vs Female),0.014,0.042,"[-0.069, 0.096]",0.7464,0.8531,ns,208
HDL-C (mg/dl),Sex: Male (vs Female),-0.135,0.52,"[-1.16, 0.89]",0.7950,0.8673,ns,223
White Blood Cells (Tsd./µl)†,Sex: Male (vs Female),-0.004,0.026,"[-0.056, 0.048]",0.8917,0.9305,ns,219
ESR (mm/h)†,Sex: Male (vs Female),0.004,0.068,"[-0.131, 0.138]",0.9568,0.9568,ns,219
