term,estimate,std.error,statistic,p.value,conf.low,conf.high,phase,outcome,predictor,n_subjects,n_obs
age,2.0617886138710797e-4,5.322196692733637e-4,0.38739429091112454,0.6987887401087498,-8.419466351526571e-4,0.001254304357926873,fasting_T0T1,Ferritin (µg/l),logHOMA_T0,261,261
fasting_duration_measured,0.008231894195869163,0.004654950605392731,1.768417088321531,0.0781914972775631,-9.353213287028005e-4,0.017399109720441126,fasting_T0T1,Ferritin (µg/l),logHOMA_T0,261,261
logHOMA_T0,0.03904356172764691,0.021585035096412377,1.8088254919787596,0.0716605060982489,-0.0034648740450174895,0.08155199750031131,fasting_T0T1,Ferritin (µg/l),logHOMA_T0,261,261
sexM,0.08867768539429827,0.043723518978376404,2.028146120584532,0.04358900403524128,0.002570880844506032,0.17478448994409052,fasting_T0T1,Ferritin (µg/l),logHOMA_T0,261,261
AIP_T0,0.012991107873846372,0.009572822241727426,1.3570823259643139,0.1759839237299779,-0.0058629184586033375,0.03184513420629608,fasting_T0T1,Monocytes abs. (Tsd./µl),AIP_T0,256,256
BMI_baseline,0.005866958184753069,0.0017089365021904365,3.4331048445820374,6.986806035347485e-4,0.0025011447392326606,0.009232771630273476,fasting_T0T1,Monocytes abs. (Tsd./µl),AIP_T0,256,256
Y_T0,0.510275288312137,0.040538747043474786,12.587347304170619,1.9034563218245994e-28,0.4304327314420672,0.5901178451822068,fasting_T0T1,Monocytes abs. (Tsd./µl),AIP_T0,256,256
age,2.927125743268939e-4,2.102208894729054e-4,1.392404794123091,0.16504204081068105,-1.2132521783814041e-4,7.067503664919283e-4,fasting_T0T1,Monocytes abs. (Tsd./µl),AIP_T0,256,256
fasting_duration_measured,-0.0021107986321948027,0.0018747521240535,-1.125908116125205,0.2612884108292286,-0.005803192058205226,0.0015815947938156208,fasting_T0T1,Monocytes abs. (Tsd./µl),AIP_T0,256,256
sexM,-0.0021588577209059228,0.017530438022719932,-0.12314910318315968,0.9020883707701379,-0.03668570171253704,0.03236798627072519,fasting_T0T1,Monocytes abs. (Tsd./µl),AIP_T0,256,256
BMI_baseline,0.005757986997786701,0.00165422215599368,3.480782177245062,5.901901323370811e-4,0.002499935474289642,0.00901603852128376,fasting_T0T1,Monocytes abs. (Tsd./µl),TyG_T0,256,256
TyG_T0,0.01570011930111065,0.00855541902466751,1.8351081642924914,0.0676824607492547,-0.0011500938860836557,0.03255033248830495,fasting_T0T1,Monocytes abs. (Tsd./µl),TyG_T0,256,256
Y_T0,0.5109012480333555,0.040306364490794125,12.675448517567096,9.620041547989806e-29,0.4315163771681866,0.5902861188985243,fasting_T0T1,Monocytes abs. (Tsd./µl),TyG_T0,256,256
age,2.631516091373279e-4,2.092313249495745e-4,1.2577065561323018,0.2096761343034391,-1.4893719921609731e-4,6.752404174907531e-4,fasting_T0T1,Monocytes abs. (Tsd./µl),TyG_T0,256,256
fasting_duration_measured,-0.002346740389677996,0.0018762704431856156,-1.2507474059515618,0.21220064122050075,-0.006042124201195965,0.0013486434218399727,fasting_T0T1,Monocytes abs. (Tsd./µl),TyG_T0,256,256
sexM,-1.689106875883198e-4,0.016524090840264915,-0.010222086601988919,0.9918522820539315,-0.03271371680172828,0.032375895426551636,fasting_T0T1,Monocytes abs. (Tsd./µl),TyG_T0,256,256
BMI_baseline,0.0062012350738630114,0.0017188225416653125,3.6078390430316514,3.730929745490761e-4,0.0028159507091218873,0.009586519438604136,fasting_T0T1,Monocytes abs. (Tsd./µl),logHOMA_T0,256,256
Y_T0,0.5099730683514446,0.04094745278812711,12.454329479056474,5.323223427796693e-28,0.4293255504492657,0.5906205862536236,fasting_T0T1,Monocytes abs. (Tsd./µl),logHOMA_T0,256,256
age,2.5689375777036616e-4,2.111629944030261e-4,1.2165661814780777,0.22492122836972853,-1.5899954478772665e-4,6.72787060328459e-4,fasting_T0T1,Monocytes abs. (Tsd./µl),logHOMA_T0,256,256
fasting_duration_measured,-0.002055474456554458,0.0018780355028066929,-1.0944811498411962,0.27480159988140795,-0.005754334618069721,0.0016433857049608048,fasting_T0T1,Monocytes abs. (Tsd./µl),logHOMA_T0,256,256
logHOMA_T0,0.007589246281521548,0.008674951615804513,0.874845949307087,0.3825007842364969,-0.009496390750801666,0.024674883313844764,fasting_T0T1,Monocytes abs. (Tsd./µl),logHOMA_T0,256,256
sexM,0.0059469758341244225,0.016169304799268078,0.36779415738353943,0.7133391665105449,-0.025899066092148107,0.03779301776039695,fasting_T0T1,Monocytes abs. (Tsd./µl),logHOMA_T0,256,256
AIP_T0,-0.0023926001651641323,0.09283983059216337,-0.025771268106623325,0.979460843232255,-0.18526237031935733,0.18047716998902907,fasting_T0T1,Neutrophils abs. (Tsd./µl),AIP_T0,251,251
BMI_baseline,0.030382820587698294,0.016377550425889675,1.855150483290166,0.06478085718125402,-0.0018765971963315593,0.06264223837172815,fasting_T0T1,Neutrophils abs. (Tsd./µl),AIP_T0,251,251
Y_T0,0.6143188115293504,0.07097406907286215,8.655538840512149,6.751989582465139e-16,0.47451877510664614,0.7541188479520546,fasting_T0T1,Neutrophils abs. (Tsd./µl),AIP_T0,251,251
age,0.0023202478313520602,0.001984574056050986,1.1691414710766783,0.24348751934661417,-0.0015888351470334352,0.006229330809737556,fasting_T0T1,Neutrophils abs. (Tsd./µl),AIP_T0,251,251
fasting_duration_measured,-0.0552375833712103,0.017715550036647192,-3.118028131045512,0.0020391503686972763,-0.09013250447019644,-0.02034266227222415,fasting_T0T1,Neutrophils abs. (Tsd./µl),AIP_T0,251,251
sexM,-0.04153929547519642,0.16605077476801605,-0.2501602027044413,0.8026739580006335,-0.3686151509789221,0.2855365600285293,fasting_T0T1,Neutrophils abs. (Tsd./µl),AIP_T0,251,251
BMI_baseline,0.028575815748989757,0.015923348161746776,1.7945858784673472,0.07395745997167943,-0.0027889443959907487,0.05994057589397026,fasting_T0T1,Neutrophils abs. (Tsd./µl),TyG_T0,251,251
TyG_T0,0.027475477883426528,0.08287202067520445,0.3315410636734633,0.7405204103157399,-0.13576035824882296,0.190711314015676,fasting_T0T1,Neutrophils abs. (Tsd./µl),TyG_T0,251,251
Y_T0,0.6094702652012867,0.07077468384829162,8.611416287040019,9.074042820865171e-16,0.4700629646329758,0.7488775657695975,fasting_T0T1,Neutrophils abs. (Tsd./µl),TyG_T0,251,251
age,0.0023097574896392614,0.0019791076891674244,1.167070140893109,0.24432133058430566,-0.00158855820008145,0.006208073179359973,fasting_T0T1,Neutrophils abs. (Tsd./µl),TyG_T0,251,251
fasting_duration_measured,-0.05602383292407864,0.017834467810571294,-3.141323504527048,0.0018895435461121137,-0.09115299040464844,-0.020894675443508835,fasting_T0T1,Neutrophils abs. (Tsd./µl),TyG_T0,251,251
sexM,-0.057536787524292386,0.1555050659000064,-0.3699994414412837,0.7117038559727499,-0.36384040179809113,0.24876682674950637,fasting_T0T1,Neutrophils abs. (Tsd./µl),TyG_T0,251,251
BMI_baseline,0.037962186188278214,0.016315972095704696,2.3266885948077864,0.020801340487734753,0.005824061334401089,0.07010031104215533,fasting_T0T1,Neutrophils abs. (Tsd./µl),logHOMA_T0,251,251
Y_T0,0.6378677089833034,0.07188473659419199,8.87347911677318,1.5508309309584092e-16,0.49627389978817726,0.7794615181784295,fasting_T0T1,Neutrophils abs. (Tsd./µl),logHOMA_T0,251,251
age,0.002543032003403995,0.001980646000479663,1.2839406955044648,0.20038056298804086,-0.0013583137503991299,0.00644437775720712,fasting_T0T1,Neutrophils abs. (Tsd./µl),logHOMA_T0,251,251
fasting_duration_measured,-0.053933415889106794,0.017666171553087393,-3.0529204206488774,0.0025171910795230906,-0.08873107451053834,-0.019135757267675246,fasting_T0T1,Neutrophils abs. (Tsd./µl),logHOMA_T0,251,251
logHOMA_T0,-0.10457659143776331,0.0839774627493413,-1.2452935348845555,0.21421844016626204,-0.26998985439992823,0.06083667152440163,fasting_T0T1,Neutrophils abs. (Tsd./µl),logHOMA_T0,251,251
sexM,-0.01792769535663511,0.1504997824969763,-0.11912107153374324,0.9052774515752762,-0.3143722327705288,0.2785168420572585,fasting_T0T1,Neutrophils abs. (Tsd./µl),logHOMA_T0,251,251
AIP_T0,0.05947725784581538,0.10105814903419852,0.588544896321899,0.5566937412594448,-0.13954892106465283,0.25850343675628357,fasting_T0T1,White Blood Cells (Tsd./µl),AIP_T0,259,259
BMI_baseline,0.037121861236955656,0.017809795256887667,2.084350813780374,0.03813552476572833,0.002046852135446982,0.07219687033846434,fasting_T0T1,White Blood Cells (Tsd./µl),AIP_T0,259,259
Y_T0,0.6260242000772808,0.057958842771853473,10.801185291803248,1.3421261981424823e-22,0.5118787588516454,0.7401696413029162,fasting_T0T1,White Blood Cells (Tsd./µl),AIP_T0,259,259
age,0.003697508228664545,0.0021670599937385587,1.706232517488219,0.08919679260457443,-5.703481900946597e-4,0.007965364647423749,fasting_T0T1,White Blood Cells (Tsd./µl),AIP_T0,259,259
fasting_duration_measured,-0.05744125483894887,0.018983094529572538,-3.0259162830098565,0.002735521579437265,-0.09482698576935111,-0.02005552390854664,fasting_T0T1,White Blood Cells (Tsd./µl),AIP_T0,259,259
sexM,-0.14971974258429838,0.17934003795956974,-0.834837241520218,0.40460009432721733,-0.5029160243475107,0.20347653917891395,fasting_T0T1,White Blood Cells (Tsd./µl),AIP_T0,259,259
BMI_baseline,0.03776462107399087,0.01734203845941474,2.1776344898767657,0.030361110308039112,0.0036108226709774816,0.07191841947700425,fasting_T0T1,White Blood Cells (Tsd./µl),TyG_T0,259,259
TyG_T0,0.05550960228833669,0.0904970924981172,0.6133854774338918,0.5401747204222647,-0.12271739567807531,0.23373660025474868,fasting_T0T1,White Blood Cells (Tsd./µl),TyG_T0,259,259
Y_T0,0.6260754776370409,0.05782047615346012,10.827919783562262,1.099805939306661e-22,0.5122025387242894,0.7399484165497923,fasting_T0T1,White Blood Cells (Tsd./µl),TyG_T0,259,259
age,0.0035746111692920787,0.00216274678500423,1.6528107654937918,0.09961466529403175,-6.847507197192456e-4,0.007833973058303403,fasting_T0T1,White Blood Cells (Tsd./µl),TyG_T0,259,259
fasting_duration_measured,-0.05813196779928483,0.019070910458194573,-3.0482009721935497,0.002547305098613378,-0.09569064538355071,-0.020573290215018962,fasting_T0T1,White Blood Cells (Tsd./µl),TyG_T0,259,259
sexM,-0.13222228019102564,0.16812892094221352,-0.786433883296443,0.4323522458390626,-0.46333913735951826,0.198894576977467,fasting_T0T1,White Blood Cells (Tsd./µl),TyG_T0,259,259
BMI_baseline,0.04792449574122016,0.017830544837344392,2.6877751733557145,0.007672183970041417,0.012808621951888047,0.08304036953055227,fasting_T0T1,White Blood Cells (Tsd./µl),logHOMA_T0,259,259
Y_T0,0.6486969853971113,0.05846093666669481,11.09624686815314,1.4768402098996436e-23,0.5335627092254616,0.763831261568761,fasting_T0T1,White Blood Cells (Tsd./µl),logHOMA_T0,259,259
age,0.0038206658096179673,0.0021702108051519188,1.7605044636898828,0.07953534081540135,-4.533958876077604e-4,0.008094727506843695,fasting_T0T1,White Blood Cells (Tsd./µl),logHOMA_T0,259,259
fasting_duration_measured,-0.05584990915104482,0.018960706947591693,-2.9455604849237242,0.003525318940077785,-0.09319154947678751,-0.018508268825302134,fasting_T0T1,White Blood Cells (Tsd./µl),logHOMA_T0,259,259
logHOMA_T0,-0.08866116413649071,0.0910752448479247,-0.9734935578217224,0.3312415741772372,-0.2680267882712027,0.09070445999822128,fasting_T0T1,White Blood Cells (Tsd./µl),logHOMA_T0,259,259
sexM,-0.08197318005099444,0.16323772042702964,-0.5021705757502171,0.6159860378737816,-0.40345719753139286,0.23951083742940402,fasting_T0T1,White Blood Cells (Tsd./µl),logHOMA_T0,259,259
