term,estimate,std.error,statistic,p.value,conf.low,conf.high,phase,outcome,predictor,n_subjects,n_obs
Y_T1,0.46738546594928115,0.04761303578577998,9.81633408237476,8.155841946705538e-19,0.3734975004875555,0.5612734314110068,refeed_T1T2,Neutrophils abs. (Tsd./µl),AIP_T0,208,208
AIP_T0,0.25591291008321226,0.08005707972603217,3.196630591060606,0.0016162109116667981,0.09804865689629075,0.4137771632701338,refeed_T1T2,Neutrophils abs. (Tsd./µl),AIP_T0,208,208
age,0.0034190740988659985,0.006033643100615718,0.5666682702059541,0.5715749579116789,-0.008478643945992917,0.015316792143724913,refeed_T1T2,Neutrophils abs. (Tsd./µl),AIP_T0,208,208
sexM,-0.12219686742950633,0.15103291839163824,-0.8090743973617848,0.4194337999884723,-0.42001810885038593,0.17562437399137323,refeed_T1T2,Neutrophils abs. (Tsd./µl),AIP_T0,208,208
BMI_baseline,-0.003936638378006375,0.014257327837212747,-0.2761133378536361,0.7827461196072236,-0.03205060929931678,0.024177332543304033,refeed_T1T2,Neutrophils abs. (Tsd./µl),AIP_T0,208,208
FR_duration,-0.11713337191121477,0.04903517030869878,-2.3887624163188734,0.017834988843786998,-0.21382563906818342,-0.020441104754246125,refeed_T1T2,Neutrophils abs. (Tsd./µl),AIP_T0,208,208
diet_ketoKeto,0.025207936969297056,0.15026992729511313,0.16775104256084133,0.8669486423940655,-0.27110876518967836,0.3215246391282725,refeed_T1T2,Neutrophils abs. (Tsd./µl),AIP_T0,208,208
(Intercept),1.183287527511355,0.5571265896946838,2.123911422285229,0.03490611764399233,0.08469170920637015,2.2818833458163397,refeed_T1T2,Neutrophils abs. (Tsd./µl),logHOMA_T0,208,208
Y_T1,0.4667278803872319,0.04849391236564429,9.624463311355491,2.9323185904255486e-18,0.37110291772418424,0.5623528430502795,refeed_T1T2,Neutrophils abs. (Tsd./µl),logHOMA_T0,208,208
logHOMA_T0,0.13670463681836761,0.07266654274610661,1.8812596781438606,0.061389504685181534,-0.0065862444072119775,0.2799955180439472,refeed_T1T2,Neutrophils abs. (Tsd./µl),logHOMA_T0,208,208
age,0.0015152034123293795,0.0061524539388407,0.2462762708004747,0.8057209520127315,-0.010616797275752158,0.013647204100410919,refeed_T1T2,Neutrophils abs. (Tsd./µl),logHOMA_T0,208,208
sexM,0.07789182194012537,0.1357783303773964,0.5736690215855854,0.5668363257915474,-0.18984895498237978,0.34563259886263054,refeed_T1T2,Neutrophils abs. (Tsd./µl),logHOMA_T0,208,208
BMI_baseline,0.006552272947852351,0.014075901037183489,0.4654958095075827,0.64208291942375,-0.021203943151614384,0.034308489047319084,refeed_T1T2,Neutrophils abs. (Tsd./µl),logHOMA_T0,208,208
FR_duration,-0.12744307310931643,0.05009183646815387,-2.5441884765063265,0.011708446556904945,-0.22621897627575632,-0.028667169942876533,refeed_T1T2,Neutrophils abs. (Tsd./µl),logHOMA_T0,208,208
diet_ketoKeto,0.07862976079464878,0.15234837352793015,0.5161181506163801,0.6063420256514302,-0.22178542164184473,0.3790449432311423,refeed_T1T2,Neutrophils abs. (Tsd./µl),logHOMA_T0,208,208
(Intercept),1.3805141202835645,0.5520836693851288,2.500552356169278,0.013203208710855372,0.2918624174930782,2.469165823074051,refeed_T1T2,Neutrophils abs. (Tsd./µl),TyG_T0,208,208
Y_T1,0.46655626880624806,0.04794326747982986,9.731424104594712,1.4383442559592662e-18,0.3720171207141012,0.5610954168983949,refeed_T1T2,Neutrophils abs. (Tsd./µl),TyG_T0,208,208
TyG_T0,0.19963184160764685,0.07244074236523976,2.7557950828433113,0.006395972271142117,0.05678621530039374,0.34247746791489997,refeed_T1T2,Neutrophils abs. (Tsd./µl),TyG_T0,208,208
age,8.273809566570568e-4,0.006099422234580174,0.13564907049167516,0.892235142359711,-0.011200046714060283,0.012854808627374396,refeed_T1T2,Neutrophils abs. (Tsd./µl),TyG_T0,208,208
sexM,-0.011660479936362161,0.14043465514092385,-0.08303135664527436,0.9339096499786145,-0.2885830460760801,0.2652620862033558,refeed_T1T2,Neutrophils abs. (Tsd./µl),TyG_T0,208,208
BMI_baseline,0.002097199264296392,0.013837255792554064,0.1515617905556759,0.8796853416750363,-0.025188433178497387,0.02938283170709017,refeed_T1T2,Neutrophils abs. (Tsd./µl),TyG_T0,208,208
FR_duration,-0.1280420350348758,0.049481428722388046,-2.5876786168250376,0.010371035351349782,-0.22561427747256318,-0.030469792597188405,refeed_T1T2,Neutrophils abs. (Tsd./µl),TyG_T0,208,208
diet_ketoKeto,0.04584877828408621,0.15085440023537983,0.3039273512244114,0.7614992045304618,-0.2516204438586174,0.3433180004267899,refeed_T1T2,Neutrophils abs. (Tsd./µl),TyG_T0,208,208
(Intercept),2.1322910875359757,0.6285339893314313,3.3924833401676238,8.27003715181626e-4,0.8932804843231055,3.371301690748846,refeed_T1T2,White Blood Cells (Tsd./µl),AIP_T0,219,219
Y_T1,0.5617324127108162,0.04652924146213689,12.072675054630436,7.382850539328674e-26,0.47001068483359865,0.6534541405880337,refeed_T1T2,White Blood Cells (Tsd./µl),AIP_T0,219,219
AIP_T0,0.23313724203789016,0.08924255866971162,2.6123997957155782,0.009637330696728562,0.05721600575401825,0.40905847832176206,refeed_T1T2,White Blood Cells (Tsd./µl),AIP_T0,219,219
age,0.003677619432297955,0.006849054104785254,0.5369528953974095,0.5918658941653694,-0.009823719877663842,0.01717895874225975,refeed_T1T2,White Blood Cells (Tsd./µl),AIP_T0,219,219
sexM,-0.12634426553879347,0.16733785114248115,-0.7550250267718368,0.4510758919447211,-0.4562124594688156,0.20352392839122868,refeed_T1T2,White Blood Cells (Tsd./µl),AIP_T0,219,219
BMI_baseline,-0.0019590400103287236,0.015972904259733075,-0.12264770253881566,0.9025028166821835,-0.033445957309685075,0.029527877289027626,refeed_T1T2,White Blood Cells (Tsd./µl),AIP_T0,219,219
FR_duration,-0.09574703267511084,0.05142196541982558,-1.861987030122265,0.06399527178548282,-0.1971136436693388,0.0056195783191171494,refeed_T1T2,White Blood Cells (Tsd./µl),AIP_T0,219,219
diet_ketoKeto,-0.1503218708398625,0.1671987770464095,-0.8990608274493391,0.36964511283396917,-0.47991591208667295,0.1792721704069479,refeed_T1T2,White Blood Cells (Tsd./µl),AIP_T0,219,219
(Intercept),1.883497922867276,0.6392076691275145,2.946613462003911,0.003573839084877788,0.6234466079870651,3.1435492377474867,refeed_T1T2,White Blood Cells (Tsd./µl),logHOMA_T0,219,219
Y_T1,0.5703590109756542,0.046858928607661623,12.171832090979525,3.6179256621085636e-26,0.4779873805060842,0.6627306414452243,refeed_T1T2,White Blood Cells (Tsd./µl),logHOMA_T0,219,219
logHOMA_T0,0.12396606515767224,0.08090778905563016,1.5321895036884061,0.12697361847520444,-0.03552508444438311,0.28345721475972757,refeed_T1T2,White Blood Cells (Tsd./µl),logHOMA_T0,219,219
age,0.002063280875444619,0.0069357094606214776,0.2974866359612096,0.766387693255325,-0.01160887959380002,0.01573544134468926,refeed_T1T2,White Blood Cells (Tsd./µl),logHOMA_T0,219,219
sexM,0.042469023413809176,0.15226275427394995,0.2789193169158049,0.7805799214810765,-0.25768207457293835,0.34262012140055664,refeed_T1T2,White Blood Cells (Tsd./µl),logHOMA_T0,219,219
BMI_baseline,0.006436469565143548,0.01594310881561375,0.403714836270831,0.6868312739261767,-0.0249917128498344,0.0378646519801215,refeed_T1T2,White Blood Cells (Tsd./µl),logHOMA_T0,219,219
FR_duration,-0.10150081019447421,0.05205104117847494,-1.950024589257373,0.05249789837172165,-0.20410749976586845,0.001105879376920027,refeed_T1T2,White Blood Cells (Tsd./µl),logHOMA_T0,219,219
diet_ketoKeto,-0.10875316587321661,0.16850881041660679,-0.6453856365393867,0.51937848082533,-0.4409296374480409,0.22342330570160773,refeed_T1T2,White Blood Cells (Tsd./µl),logHOMA_T0,219,219
(Intercept),2.027430209125535,0.6332567295514185,3.2015928367025963,0.0015778557149101814,0.7791098067480908,3.2757506115029793,refeed_T1T2,White Blood Cells (Tsd./µl),TyG_T0,219,219
Y_T1,0.5650882983278985,0.0467359924665823,12.091073036096418,6.468165407396307e-26,0.47295900826457665,0.6572175883912204,refeed_T1T2,White Blood Cells (Tsd./µl),TyG_T0,219,219
TyG_T0,0.17205286048227902,0.08014257467478456,2.1468347027839174,0.032947360529709334,0.014070155527118822,0.3300355654374392,refeed_T1T2,White Blood Cells (Tsd./µl),TyG_T0,219,219
age,0.001648962232660416,0.006902436673952015,0.23889566982673913,0.8114183548451327,-0.011957608568910478,0.015255533034231309,refeed_T1T2,White Blood Cells (Tsd./µl),TyG_T0,219,219
sexM,-0.023169277861426252,0.15647905217815097,-0.14806632286504454,0.8824318267307307,-0.3316318401417215,0.285293284418869,refeed_T1T2,White Blood Cells (Tsd./µl),TyG_T0,219,219
BMI_baseline,0.003952795341226596,0.015539613695923157,0.25436895785019537,0.7994582548058083,-0.026679988988481416,0.034585579670934605,refeed_T1T2,White Blood Cells (Tsd./µl),TyG_T0,219,219
