Variable,Term,Estimate,SE,95% CI,P (raw),P (FDR),Signif.,n (subjects)
Eosinophils abs. (Tsd./µl)†,"Refeeding duration (days), centered",-0.014,0.019,"[-0.052, 0.023]",0.4534,0.5182,ns,217
Non-HDL Cholesterol (mg/dl),"Refeeding duration (days), centered",-0.473,0.608,"[-1.671, 0.726]",0.4380,0.5182,ns,223
Lymphocytes abs. (Tsd./µl)†,"Refeeding duration (days), centered",-0.006,0.009,"[-0.024, 0.011]",0.4918,0.5365,ns,219
Total Cholesterol (mg/dl),"Refeeding duration (days), centered",0.061,0.655,"[-1.23, 1.351]",0.9262,0.9665,ns,223
LDL-C (mg/dl),"Refeeding duration (days), centered",0.004,0.591,"[-1.161, 1.169]",0.9944,0.9944,ns,223
GFR (ml/min),"Age (years), centered",-0.177,0.043,"[-0.262, -0.092]",5.76e-05,0.0014,☆☆,223
GOT/AST (U/l)†,"Age (years), centered",0.004,0.001,"[0.001, 0.006]",0.0105,0.1259,ns,221
GPT/ALT (U/l)†,"Age (years), centered",0.003,0.001,"[0, 0.005]",0.0225,0.1797,ns,223
Monocytes abs. (Tsd./µl)†,"Age (years), centered",0.003,0.002,"[0, 0.006]",0.0546,0.3273,ns,219
Ferritin (µg/l)†,"Age (years), centered",0.002,0.001,"[0, 0.004]",0.0909,0.4362,ns,223
ESR (mm/h)†,"Age (years), centered",-0.004,0.003,"[-0.011, 0.002]",0.1584,0.4637,ns,219
Gamma-GT (U/l),"Age (years), centered",0.033,0.023,"[-0.012, 0.077]",0.1487,0.4637,ns,222
HDL-C (mg/dl),"Age (years), centered",-0.032,0.022,"[-0.075, 0.012]",0.1491,0.4637,ns,223
Lymphocytes abs. (Tsd./µl)†,"Age (years), centered",-0.002,0.001,"[-0.004, 0.001]",0.1739,0.4637,ns,219
Eosinophils abs. (Tsd./µl)†,"Age (years), centered",-0.003,0.003,"[-0.008, 0.002]",0.2096,0.4837,ns,217
Triglycerides (mg/dl)†,"Age (years), centered",0.001,0.001,"[-0.001, 0.004]",0.2217,0.4837,ns,223
Serum Glucose (mg/dl),"Age (years), centered",0.106,0.1,"[-0.092, 0.304]",0.2944,0.5888,ns,223
Insulin (mIU/l)†,"Age (years), centered",-0.004,0.005,"[-0.013, 0.005]",0.3864,0.7133,ns,223
Immature Granulocytes abs. (Tsd./µl)†,"Age (years), centered",0.001,0.003,"[-0.004, 0.007]",0.7034,0.9202,ns,167
LDL-C (mg/dl),"Age (years), centered",0.04,0.082,"[-0.122, 0.201]",0.6295,0.9202,ns,223
Neutrophils abs. (Tsd./µl)†,"Age (years), centered",0.001,0.002,"[-0.003, 0.005]",0.6522,0.9202,ns,208
Non-HDL Cholesterol (mg/dl),"Age (years), centered",0.031,0.085,"[-0.137, 0.199]",0.7152,0.9202,ns,223
Uric Acid (mg/dl),"Age (years), centered",-0.004,0.008,"[-0.018, 0.011]",0.6333,0.9202,ns,223
White Blood Cells (Tsd./µl)†,"Age (years), centered",0,0.001,"[-0.002, 0.003]",0.7285,0.9202,ns,219
Alkaline Phosphatase (U/l),"Age (years), centered",0.005,0.032,"[-0.058, 0.069]",0.8700,0.9897,ns,223
